driver_id,date,day_of_week,weekend_flag,stop,location_id,latitude,longitude,region,traffic_category,visit_time,visit_duration_minutes,distance_km,historical_travel_time_minutes,stop_count,average_speed_kmph,route_efficiency_score
D9,2026-01-04,Sunday,1,Store_22,L22,22.96808,72.593603,South,High,14:00,45,4.78,16.25,7,27.23,0.65
D14,2026-01-05,Monday,0,Store_3,L3,23.026445,72.587532,Central,High,18:00,60,24.0,114.24,4,34.63,0.63
D7,2026-01-05,Monday,0,Store_62,L62,23.04547,72.60816,West,High,11:45,26,15.11,51.37,12,32.71,0.95
D10,2026-01-06,Tuesday,0,Store_52,L52,22.919236,72.519291,East,Low,14:45,27,8.47,16.94,6,26.62,0.76
D10,2026-01-06,Tuesday,0,Store_26,L26,23.140634,72.59912,East,Low,16:15,42,18.5,37.0,11,24.28,0.83
D13,2026-01-06,Tuesday,0,Store_2,L2,23.101989,72.495308,North,Medium,09:00,44,20.78,75.64,10,36.11,0.84
D4,2026-01-06,Tuesday,0,Store_26,L26,23.140634,72.59912,East,Low,14:45,17,10.99,21.98,4,38.41,0.86
D5,2026-01-06,Tuesday,0,Store_50,L50,22.929464,72.534675,West,Low,11:30,19,5.07,10.14,4,22.57,0.69
D5,2026-01-06,Tuesday,0,Store_67,L67,22.985093,72.609142,West,High,17:45,14,8.49,40.41,3,46.15,0.98
D6,2026-01-06,Tuesday,0,Store_41,L41,23.133335,72.541455,East,Low,09:00,42,3.39,9.49,9,33.22,0.7
D7,2026-01-06,Tuesday,0,Store_27,L27,23.078705,72.511762,South,Low,14:45,11,14.06,28.12,5,32.75,0.94
D8,2026-01-06,Tuesday,0,Store_2,L2,23.101989,72.495308,North,Medium,15:45,33,8.49,22.07,6,47.65,0.96
D8,2026-01-06,Tuesday,0,Store_45,L45,23.167346,72.578259,Central,High,16:00,40,6.49,22.07,5,30.69,0.65
D9,2026-01-06,Tuesday,0,Store_62,L62,23.04547,72.60816,West,High,13:45,22,9.98,33.93,9,28.59,0.8
D11,2026-01-07,Wednesday,0,Store_7,L7,22.995806,72.573083,South,Low,18:00,17,7.84,21.95,12,45.96,0.69
D13,2026-01-07,Wednesday,0,Store_21,L21,23.024734,72.578839,East,Medium,09:15,17,21.48,78.19,10,31.12,0.75
D14,2026-01-07,Wednesday,0,Store_12,L12,23.113793,72.544115,East,High,13:45,38,4.92,16.73,12,36.67,0.7
D2,2026-01-07,Wednesday,0,Store_8,L8,22.906262,72.547656,North,Medium,11:30,48,8.54,22.2,7,49.68,0.67
D4,2026-01-07,Wednesday,0,Store_22,L22,22.96808,72.593603,South,High,17:00,31,15.13,72.02,6,41.64,0.75
D6,2026-01-07,Wednesday,0,Store_2,L2,23.101989,72.495308,North,Medium,13:15,17,18.13,47.14,10,39.08,0.85
D11,2026-01-08,Thursday,0,Store_69,L69,23.098633,72.464317,East,High,09:45,10,16.28,77.49,5,30.15,0.69
D15,2026-01-08,Thursday,0,Store_20,L20,23.129394,72.520486,West,Medium,16:15,51,9.44,24.54,4,26.51,0.96
D2,2026-01-08,Thursday,0,Store_47,L47,22.996527,72.726769,Central,Low,09:00,58,6.17,17.28,4,25.66,0.79
D3,2026-01-08,Thursday,0,Store_57,L57,23.008902,72.68655,West,Medium,11:15,51,1.24,3.22,6,22.61,0.81
D3,2026-01-08,Thursday,0,Store_40,L40,23.094792,72.571629,West,Medium,12:15,12,14.51,37.73,6,47.48,0.74
D4,2026-01-08,Thursday,0,Store_22,L22,22.96808,72.593603,South,High,10:00,10,7.01,33.37,11,30.53,0.8
D7,2026-01-08,Thursday,0,Store_19,L19,23.030236,72.593213,North,Medium,17:00,41,21.13,76.91,9,46.47,0.89
D12,2026-01-09,Friday,0,Store_38,L38,23.042065,72.714175,West,Low,10:30,34,20.27,56.76,11,46.18,0.65
D12,2026-01-09,Friday,0,Store_9,L9,23.1724,72.568243,East,Medium,18:15,30,3.22,11.72,7,26.99,0.81
D15,2026-01-09,Friday,0,Store_38,L38,23.042065,72.714175,West,Low,15:15,34,14.94,29.88,3,43.35,0.87
D5,2026-01-09,Friday,0,Store_54,L54,23.011897,72.641639,North,Medium,09:15,59,23.09,84.05,6,44.03,0.78
D7,2026-01-09,Friday,0,Store_29,L29,23.005242,72.721367,East,Medium,15:00,33,2.14,5.56,4,29.39,0.7
D1,2026-01-10,Saturday,1,Store_17,L17,23.149252,72.585157,East,Medium,17:15,22,3.47,12.63,12,30.74,0.77
D12,2026-01-10,Saturday,1,Store_19,L19,23.030236,72.593213,North,Medium,11:45,30,1.41,3.67,7,39.01,0.84
D12,2026-01-10,Saturday,1,Store_70,L70,22.903094,72.533732,West,Low,18:30,16,14.08,39.42,4,28.41,0.74
D13,2026-01-10,Saturday,1,Store_34,L34,23.027443,72.583301,West,Medium,15:45,15,20.14,52.36,11,34.38,0.95
D14,2026-01-10,Saturday,1,Store_6,L6,23.114987,72.550167,East,High,13:00,14,9.4,31.96,9,31.72,0.73
D2,2026-01-10,Saturday,1,Store_61,L61,22.900191,72.532039,North,Medium,08:30,19,17.81,64.83,7,29.48,0.84
D2,2026-01-10,Saturday,1,Store_26,L26,23.140634,72.59912,East,Low,08:45,42,3.38,9.46,10,20.67,0.68
D3,2026-01-10,Saturday,1,Store_7,L7,22.995806,72.573083,South,Low,11:15,33,13.55,27.1,11,42.74,0.66
D6,2026-01-10,Saturday,1,Store_20,L20,23.129394,72.520486,West,Medium,18:30,37,8.65,31.49,11,40.32,0.79
D11,2026-01-11,Sunday,1,Store_70,L70,22.903094,72.533732,West,Low,09:15,52,6.74,18.87,4,38.31,0.86
D11,2026-01-11,Sunday,1,Store_66,L66,22.98114,72.715898,East,Low,09:15,30,10.82,30.3,6,43.12,0.64
D12,2026-01-11,Sunday,1,Store_46,L46,22.965655,72.529849,Central,Low,17:00,28,15.97,44.72,11,47.98,0.86
D15,2026-01-11,Sunday,1,Store_15,L15,23.103642,72.553741,Central,Low,08:30,55,22.26,62.33,12,23.39,0.86
D15,2026-01-11,Sunday,1,Store_66,L66,22.98114,72.715898,East,Low,16:30,19,23.01,46.02,9,43.15,0.7
D6,2026-01-11,Sunday,1,Store_27,L27,23.078705,72.511762,South,Low,10:30,25,14.76,41.33,10,23.35,0.7
D6,2026-01-11,Sunday,1,Store_20,L20,23.129394,72.520486,West,Medium,17:15,47,10.55,38.4,3,22.96,0.63
D7,2026-01-11,Sunday,1,Store_59,L59,23.102272,72.544785,East,Medium,10:30,46,6.7,24.39,5,26.43,0.81
D7,2026-01-11,Sunday,1,Store_43,L43,23.043895,72.718543,Central,High,14:15,51,15.59,53.01,9,39.59,0.78
D9,2026-01-11,Sunday,1,Store_3,L3,23.026445,72.587532,Central,High,10:45,35,24.12,114.81,10,47.78,0.91
D11,2026-01-12,Monday,0,Store_60,L60,23.110032,72.461491,South,High,09:00,14,22.45,106.86,8,33.11,0.84
D13,2026-01-12,Monday,0,Store_40,L40,23.094792,72.571629,West,Medium,08:00,26,4.99,18.16,6,34.29,0.68
D14,2026-01-12,Monday,0,Store_23,L23,23.040341,72.600817,East,High,08:00,48,10.96,52.17,9,43.46,0.86
D15,2026-01-12,Monday,0,Store_32,L32,22.896707,72.491172,East,Low,09:45,46,18.51,51.83,6,25.49,0.97
D15,2026-01-12,Monday,0,Store_21,L21,23.024734,72.578839,East,Medium,10:00,55,6.79,24.72,3,35.4,0.73
D2,2026-01-12,Monday,0,Store_35,L35,23.114949,72.528371,North,Low,08:45,53,24.02,67.26,4,32.72,0.88
D2,2026-01-12,Monday,0,Store_18,L18,22.937508,72.532447,Central,High,09:45,11,11.85,56.41,10,40.63,0.84
D4,2026-01-12,Monday,0,Store_5,L5,23.099597,72.517982,North,Medium,14:30,31,11.13,28.94,11,35.04,0.9
D6,2026-01-12,Monday,0,Store_1,L1,23.136953,72.579277,West,Medium,09:30,12,3.67,13.36,7,23.16,0.73
D7,2026-01-12,Monday,0,Store_25,L25,23.135226,72.587119,East,Low,16:00,53,16.25,32.5,8,22.07,0.61
D8,2026-01-12,Monday,0,Store_24,L24,23.142062,72.57643,South,Medium,18:15,13,17.23,62.72,12,21.76,0.74
D9,2026-01-12,Monday,0,Store_50,L50,22.929464,72.534675,West,Low,10:45,16,11.28,31.58,5,20.02,0.65
D9,2026-01-12,Monday,0,Store_9,L9,23.1724,72.568243,East,Medium,12:30,32,14.61,37.99,5,49.67,0.74
D1,2026-01-13,Tuesday,0,Store_68,L68,23.031707,72.714249,Central,Medium,16:15,18,23.86,62.04,10,44.12,0.93
D13,2026-01-13,Tuesday,0,Store_39,L39,23.125122,72.541797,West,Low,12:15,28,17.29,34.58,7,29.79,0.94
D14,2026-01-13,Tuesday,0,Store_14,L14,22.957228,72.598412,South,High,13:30,32,16.15,54.91,3,23.71,0.69
D15,2026-01-13,Tuesday,0,Store_37,L37,23.081543,72.566907,East,Medium,18:15,32,8.83,32.14,3,48.5,0.69
D4,2026-01-13,Tuesday,0,Store_4,L4,23.122541,72.569269,North,High,08:15,42,14.45,68.78,3,21.33,0.65
D5,2026-01-13,Tuesday,0,Store_48,L48,23.02243,72.683566,East,Low,13:45,39,3.37,6.74,11,31.89,0.71
D5,2026-01-13,Tuesday,0,Store_7,L7,22.995806,72.573083,South,Low,15:45,52,6.9,13.8,11,38.57,0.89
D10,2026-01-14,Wednesday,0,Store_20,L20,23.129394,72.520486,West,Medium,13:15,13,4.41,11.47,8,41.22,0.68
D12,2026-01-14,Wednesday,0,Store_21,L21,23.024734,72.578839,East,Medium,12:30,48,1.5,3.9,4,33.37,0.91
D12,2026-01-14,Wednesday,0,Store_19,L19,23.030236,72.593213,North,Medium,16:15,32,7.14,18.56,9,25.88,0.7
D12,2026-01-14,Wednesday,0,Store_41,L41,23.133335,72.541455,East,Low,17:00,40,8.72,24.42,12,32.54,0.63
D15,2026-01-14,Wednesday,0,Store_18,L18,22.937508,72.532447,Central,High,14:00,52,11.93,40.56,9,24.82,0.7
D15,2026-01-14,Wednesday,0,Store_17,L17,23.149252,72.585157,East,Medium,15:30,30,24.93,64.82,8,47.58,0.81
D15,2026-01-14,Wednesday,0,Store_20,L20,23.129394,72.520486,West,Medium,18:30,14,1.53,5.57,9,20.4,0.89
D5,2026-01-14,Wednesday,0,Store_34,L34,23.027443,72.583301,West,Medium,09:30,55,18.49,67.3,9,38.37,0.93
D5,2026-01-14,Wednesday,0,Store_41,L41,23.133335,72.541455,East,Low,16:15,21,10.58,21.16,5,21.1,0.71
D6,2026-01-14,Wednesday,0,Store_17,L17,23.149252,72.585157,East,Medium,09:15,33,5.49,19.98,9,27.46,0.7
D8,2026-01-14,Wednesday,0,Store_29,L29,23.005242,72.721367,East,Medium,12:30,60,22.4,58.24,3,24.07,0.62
D9,2026-01-14,Wednesday,0,Store_56,L56,23.088968,72.467116,West,High,18:15,42,19.15,91.15,10,47.46,0.9
D1,2026-01-15,Thursday,0,Store_9,L9,23.1724,72.568243,East,Medium,15:45,13,17.36,45.14,5,40.14,0.76
D4,2026-01-15,Thursday,0,Store_14,L14,22.957228,72.598412,South,High,14:15,11,21.19,72.05,5,21.43,0.79
D5,2026-01-15,Thursday,0,Store_2,L2,23.101989,72.495308,North,Medium,08:00,39,21.24,77.31,9,49.78,0.85
D5,2026-01-15,Thursday,0,Store_52,L52,22.919236,72.519291,East,Low,13:15,14,5.51,11.02,5,41.84,0.61
D8,2026-01-15,Thursday,0,Store_23,L23,23.040341,72.600817,East,High,08:15,55,6.16,29.32,5,41.37,0.84
D8,2026-01-15,Thursday,0,Store_60,L60,23.110032,72.461491,South,High,11:30,46,23.73,80.68,12,37.01,0.94
D9,2026-01-15,Thursday,0,Store_54,L54,23.011897,72.641639,North,Medium,14:45,12,1.14,2.96,4,33.74,0.79
D9,2026-01-15,Thursday,0,Store_36,L36,23.112303,72.453666,East,Low,17:00,59,3.14,8.79,9,35.45,0.8
D15,2026-01-16,Friday,0,Store_47,L47,22.996527,72.726769,Central,Low,11:30,51,24.26,48.52,6,24.21,0.76
D4,2026-01-16,Friday,0,Store_51,L51,23.075749,72.460435,South,Medium,09:00,39,20.21,73.56,3,24.61,0.87
D4,2026-01-16,Friday,0,Store_8,L8,22.906262,72.547656,North,Medium,15:30,17,1.81,4.71,8,48.35,0.86
D7,2026-01-16,Friday,0,Store_22,L22,22.96808,72.593603,South,High,08:15,21,4.1,19.52,7,41.03,0.88
D7,2026-01-16,Friday,0,Store_52,L52,22.919236,72.519291,East,Low,12:15,54,22.29,44.58,10,27.24,0.69
D8,2026-01-16,Friday,0,Store_43,L43,23.043895,72.718543,Central,High,10:30,44,17.98,85.58,8,28.71,0.86
D1,2026-01-17,Saturday,1,Store_70,L70,22.903094,72.533732,West,Low,13:45,10,15.45,30.9,8,25.56,0.73
D13,2026-01-17,Saturday,1,Store_9,L9,23.1724,72.568243,East,Medium,16:30,60,4.91,12.77,5,21.35,0.81
D13,2026-01-17,Saturday,1,Store_29,L29,23.005242,72.721367,East,Medium,17:30,26,8.37,30.47,11,48.9,0.97
D5,2026-01-17,Saturday,1,Store_52,L52,22.919236,72.519291,East,Low,08:30,56,14.91,41.75,9,36.52,0.89
D6,2026-01-17,Saturday,1,Store_26,L26,23.140634,72.59912,East,Low,11:30,57,15.52,31.04,9,49.03,0.72
D6,2026-01-17,Saturday,1,Store_55,L55,23.018238,72.570281,West,Low,12:15,58,12.63,25.26,12,21.61,0.6
D7,2026-01-17,Saturday,1,Store_59,L59,23.102272,72.544785,East,Medium,16:45,38,19.15,49.79,4,43.55,0.88
D9,2026-01-17,Saturday,1,Store_66,L66,22.98114,72.715898,East,Low,11:15,10,3.06,6.12,12,41.46,0.69
D10,2026-01-18,Sunday,1,Store_36,L36,23.112303,72.453666,East,Low,12:15,20,17.07,34.14,4,28.09,0.91
D11,2026-01-18,Sunday,1,Store_55,L55,23.018238,72.570281,West,Low,16:45,38,15.65,31.3,6,31.69,0.96
D12,2026-01-18,Sunday,1,Store_62,L62,23.04547,72.60816,West,High,08:30,12,8.4,39.98,4,26.51,0.77
D12,2026-01-18,Sunday,1,Store_11,L11,22.956287,72.533465,West,High,17:45,42,9.83,46.79,11,36.96,0.89
D13,2026-01-18,Sunday,1,Store_27,L27,23.078705,72.511762,South,Low,12:30,11,7.69,15.38,7,38.07,0.64
D15,2026-01-18,Sunday,1,Store_6,L6,23.114987,72.550167,East,High,17:45,41,14.81,70.5,7,34.52,0.8
D2,2026-01-18,Sunday,1,Store_40,L40,23.094792,72.571629,West,Medium,12:00,12,5.28,13.73,3,38.97,0.94
D6,2026-01-18,Sunday,1,Store_66,L66,22.98114,72.715898,East,Low,09:00,14,6.96,19.49,9,39.33,0.96
D8,2026-01-18,Sunday,1,Store_21,L21,23.024734,72.578839,East,Medium,09:45,12,6.04,21.99,9,26.19,0.63
D9,2026-01-18,Sunday,1,Store_21,L21,23.024734,72.578839,East,Medium,14:00,14,11.37,29.56,4,33.08,0.72
D1,2026-01-19,Monday,0,Store_40,L40,23.094792,72.571629,West,Medium,09:30,45,11.31,41.17,3,32.9,0.75
D14,2026-01-19,Monday,0,Store_17,L17,23.149252,72.585157,East,Medium,09:30,30,7.91,28.79,9,42.49,0.63
D4,2026-01-19,Monday,0,Store_42,L42,23.04175,72.60512,East,High,10:00,58,18.33,87.25,7,48.51,0.6
D4,2026-01-19,Monday,0,Store_29,L29,23.005242,72.721367,East,Medium,17:30,23,10.17,37.02,8,24.82,0.92
D5,2026-01-19,Monday,0,Store_23,L23,23.040341,72.600817,East,High,11:30,49,1.51,5.13,8,43.06,0.86
D7,2026-01-19,Monday,0,Store_11,L11,22.956287,72.533465,West,High,08:00,31,15.75,74.97,7,43.46,0.96
D1,2026-01-20,Tuesday,0,Store_8,L8,22.906262,72.547656,North,Medium,10:15,34,11.16,40.62,9,35.33,0.72
D11,2026-01-20,Tuesday,0,Store_51,L51,23.075749,72.460435,South,Medium,18:45,48,7.53,27.41,5,44.57,0.67
D15,2026-01-20,Tuesday,0,Store_21,L21,23.024734,72.578839,East,Medium,09:45,21,18.48,67.27,6,46.8,0.74
D2,2026-01-20,Tuesday,0,Store_60,L60,23.110032,72.461491,South,High,14:30,23,14.93,50.76,11,28.75,0.83
D3,2026-01-20,Tuesday,0,Store_29,L29,23.005242,72.721367,East,Medium,09:30,43,10.66,38.8,8,45.93,0.91
D8,2026-01-20,Tuesday,0,Store_38,L38,23.042065,72.714175,West,Low,10:15,22,1.82,5.1,6,21.31,0.91
D8,2026-01-20,Tuesday,0,Store_43,L43,23.043895,72.718543,Central,High,17:45,39,5.51,26.23,9,38.96,0.97
D9,2026-01-20,Tuesday,0,Store_55,L55,23.018238,72.570281,West,Low,09:00,31,7.86,22.01,12,49.67,0.66
D9,2026-01-20,Tuesday,0,Store_68,L68,23.031707,72.714249,Central,Medium,18:45,53,20.52,74.69,9,47.03,0.92
D11,2026-01-21,Wednesday,0,Store_16,L16,23.049811,72.469171,East,High,15:00,11,17.01,57.83,11,32.86,0.92
D12,2026-01-21,Wednesday,0,Store_65,L65,22.984183,72.598118,North,Low,11:15,24,5.33,10.66,10,49.29,0.8
D13,2026-01-21,Wednesday,0,Store_3,L3,23.026445,72.587532,Central,High,18:15,26,19.44,92.53,10,42.12,0.87
D15,2026-01-21,Wednesday,0,Store_20,L20,23.129394,72.520486,West,Medium,18:45,30,2.13,7.75,11,30.05,0.96
D4,2026-01-21,Wednesday,0,Store_36,L36,23.112303,72.453666,East,Low,18:15,34,10.52,29.46,9,25.36,0.65
D4,2026-01-21,Wednesday,0,Store_14,L14,22.957228,72.598412,South,High,18:30,44,5.79,27.56,10,40.14,0.8
D6,2026-01-21,Wednesday,0,Store_16,L16,23.049811,72.469171,East,High,08:15,45,7.64,36.37,5,40.1,0.81
D9,2026-01-21,Wednesday,0,Store_31,L31,22.92006,72.51836,South,Medium,15:00,12,1.41,3.67,3,47.01,0.61
D1,2026-01-22,Thursday,0,Store_44,L44,23.118934,72.499277,Central,Low,09:30,15,24.56,68.77,11,37.13,0.66
D11,2026-01-22,Thursday,0,Store_14,L14,22.957228,72.598412,South,High,08:15,52,16.17,76.97,6,38.75,0.74
D15,2026-01-22,Thursday,0,Store_39,L39,23.125122,72.541797,West,Low,17:15,48,18.53,51.88,7,32.45,0.97
D3,2026-01-22,Thursday,0,Store_70,L70,22.903094,72.533732,West,Low,17:45,58,9.58,26.82,6,36.14,0.78
D4,2026-01-22,Thursday,0,Store_33,L33,23.076562,72.481891,West,Medium,09:15,52,14.43,52.53,7,36.37,0.74
D6,2026-01-22,Thursday,0,Store_34,L34,23.027443,72.583301,West,Medium,12:45,22,6.62,17.21,12,20.8,0.69
D6,2026-01-22,Thursday,0,Store_37,L37,23.081543,72.566907,East,Medium,13:00,60,14.14,36.76,6,27.4,0.96
D1,2026-01-23,Friday,0,Store_31,L31,22.92006,72.51836,South,Medium,10:45,12,4.45,16.2,12,29.78,0.83
D10,2026-01-23,Friday,0,Store_37,L37,23.081543,72.566907,East,Medium,15:00,17,4.46,11.6,12,31.91,0.77
D12,2026-01-23,Friday,0,Store_32,L32,22.896707,72.491172,East,Low,13:45,43,13.89,27.78,7,40.32,0.7
D12,2026-01-23,Friday,0,Store_47,L47,22.996527,72.726769,Central,Low,17:00,50,16.7,46.76,8,24.35,0.61
D2,2026-01-23,Friday,0,Store_70,L70,22.903094,72.533732,West,Low,15:00,27,13.63,27.26,11,33.31,0.7
D2,2026-01-23,Friday,0,Store_7,L7,22.995806,72.573083,South,Low,17:00,23,11.48,32.14,11,48.48,0.92
D3,2026-01-23,Friday,0,Store_29,L29,23.005242,72.721367,East,Medium,15:15,53,8.03,20.88,8,48.9,0.93
D4,2026-01-23,Friday,0,Store_52,L52,22.919236,72.519291,East,Low,12:45,30,7.6,15.2,10,37.25,0.84
D4,2026-01-23,Friday,0,Store_25,L25,23.135226,72.587119,East,Low,18:30,43,23.55,65.94,6,46.47,0.67
D5,2026-01-23,Friday,0,Store_16,L16,23.049811,72.469171,East,High,10:45,44,13.9,66.16,9,20.21,0.92
D6,2026-01-23,Friday,0,Store_65,L65,22.984183,72.598118,North,Low,10:30,38,18.63,52.16,4,30.35,0.77
D8,2026-01-23,Friday,0,Store_13,L13,23.081015,72.536338,West,Medium,15:15,19,23.31,60.61,3,27.21,0.61
D10,2026-01-24,Saturday,1,Store_32,L32,22.896707,72.491172,East,Low,16:30,13,14.93,29.86,6,20.97,0.8
D4,2026-01-24,Saturday,1,Store_70,L70,22.903094,72.533732,West,Low,15:00,19,21.47,42.94,6,42.18,0.61
D4,2026-01-24,Saturday,1,Store_4,L4,23.122541,72.569269,North,High,17:45,44,24.43,116.29,4,44.35,0.72
D7,2026-01-24,Saturday,1,Store_35,L35,23.114949,72.528371,North,Low,14:30,44,21.0,42.0,11,44.54,0.62
D11,2026-01-25,Sunday,1,Store_69,L69,23.098633,72.464317,East,High,11:30,10,9.71,33.01,12,40.31,0.92
D13,2026-01-25,Sunday,1,Store_67,L67,22.985093,72.609142,West,High,10:00,28,11.98,57.02,7,21.59,0.72
D13,2026-01-25,Sunday,1,Store_58,L58,23.018608,72.5704,North,Low,12:15,41,13.45,26.9,8,36.65,0.94
D13,2026-01-25,Sunday,1,Store_32,L32,22.896707,72.491172,East,Low,18:00,17,22.4,62.72,11,43.32,0.81
D14,2026-01-25,Sunday,1,Store_4,L4,23.122541,72.569269,North,High,11:15,14,19.25,65.45,6,34.19,0.69
D4,2026-01-25,Sunday,1,Store_62,L62,23.04547,72.60816,West,High,09:00,25,24.73,117.71,12,40.18,0.96
D7,2026-01-25,Sunday,1,Store_5,L5,23.099597,72.517982,North,Medium,17:45,30,4.45,16.2,9,42.49,0.78
D9,2026-01-25,Sunday,1,Store_20,L20,23.129394,72.520486,West,Medium,15:45,31,4.27,11.1,3,42.97,0.95
D12,2026-01-26,Monday,0,Store_8,L8,22.906262,72.547656,North,Medium,11:15,53,3.23,8.4,8,24.47,0.83
D13,2026-01-26,Monday,0,Store_39,L39,23.125122,72.541797,West,Low,11:30,60,2.39,4.78,4,42.47,0.81
D4,2026-01-26,Monday,0,Store_57,L57,23.008902,72.68655,West,Medium,17:45,41,9.98,36.33,7,34.47,0.92
D4,2026-01-26,Monday,0,Store_3,L3,23.026445,72.587532,Central,High,18:15,26,14.26,67.88,6,40.12,0.63
D5,2026-01-26,Monday,0,Store_67,L67,22.985093,72.609142,West,High,11:30,60,20.46,69.56,11,26.24,0.96
D5,2026-01-26,Monday,0,Store_67,L67,22.985093,72.609142,West,High,14:45,36,9.81,33.35,11,44.03,0.76
D5,2026-01-26,Monday,0,Store_60,L60,23.110032,72.461491,South,High,18:15,10,12.53,59.64,5,23.0,0.68
D7,2026-01-26,Monday,0,Store_15,L15,23.103642,72.553741,Central,Low,17:30,56,4.65,13.02,8,27.66,0.77
D8,2026-01-26,Monday,0,Store_12,L12,23.113793,72.544115,East,High,17:15,24,21.78,103.67,3,21.13,0.97
